#HJD-2450000 Imag ERR_Imag
6005.60294 15.148 0.005
6006.58690 15.341 0.005
6007.58522 15.198 0.005
6008.61971 15.095 0.005
6009.56079 15.003 0.005
6010.61636 14.995 0.005
6011.57515 15.080 0.005
6012.61084 15.146 0.005
6013.55596 15.351 0.005
6014.57488 15.191 0.005
6015.57026 15.070 0.005
6016.61124 15.030 0.005
6017.57461 15.029 0.005
6018.52948 15.116 0.005
6019.57851 15.180 0.005
6020.60003 15.363 0.005
6021.58777 15.203 0.005
6022.59968 15.086 0.005
6023.57332 15.014 0.005
6024.59615 15.014 0.005
6025.59617 15.069 0.005
6026.54243 15.241 0.006
6028.57919 15.208 0.006
6029.59677 15.076 0.006
6032.51706 15.116 0.005
6033.50463 15.296 0.006
6034.51020 15.303 0.005
6035.53563 15.155 0.005
6036.51247 15.030 0.005
6037.51209 14.996 0.006
6038.50382 15.023 0.006
6039.51052 15.126 0.005
6040.51282 15.281 0.005
6042.51044 15.149 0.006
6047.48742 15.325 0.006
6048.48618 15.294 0.006
6049.50945 15.136 0.005
6050.48503 15.029 0.005
6052.50075 15.037 0.005
6053.49776 15.133 0.005
6055.50635 15.294 0.006
6056.49333 15.132 0.005
6057.50351 15.043 0.005
6058.49689 14.997 0.005
6059.49054 15.039 0.005
6060.49381 15.131 0.005
6061.48698 15.326 0.006
6062.47843 15.259 0.006
6064.48024 15.022 0.005
6070.48161 15.113 0.006
6079.46362 15.000 0.005
6123.92752 15.001 0.005
6137.92547 15.012 0.005
6164.91279 15.089 0.005
6165.92590 15.023 0.005
6171.89110 15.072 0.005
6174.91747 15.091 0.006
6179.91711 15.007 0.006
6180.86967 15.028 0.006
6181.88386 15.102 0.005
6182.88841 15.233 0.005
6183.89010 15.359 0.005
6185.86638 15.051 0.005
6186.86788 15.004 0.005
6191.89349 15.176 0.005
6193.90150 15.010 0.005
6196.88318 15.241 0.005
6199.83219 15.023 0.005
6202.83963 15.146 0.006
6204.87478 15.353 0.005
6207.88762 15.015 0.005
6210.88632 15.239 0.006
6212.83915 15.136 0.005
6216.83695 15.135 0.005
6219.82192 15.134 0.005
6221.83524 14.990 0.005
6222.83616 15.035 0.005
6223.79326 15.159 0.005
6224.85882 15.257 0.005
6225.74083 15.173 0.005
6226.75322 15.062 0.005
6229.79578 15.055 0.005
6230.73964 15.222 0.006
6231.76446 15.369 0.005
6232.83047 15.272 0.005
6233.83965 15.137 0.005
6234.84084 15.041 0.005
6235.78822 15.011 0.005
6236.80583 15.071 0.005
6238.83956 15.299 0.005
6239.81362 15.266 0.005
6240.85686 15.155 0.005
6241.81050 15.023 0.005
6242.85343 15.015 0.005
6243.82223 15.057 0.005
6244.76257 15.197 0.005
6245.77910 15.361 0.005
6248.79582 15.021 0.005
6251.78643 15.185 0.005
6254.79636 15.101 0.005
6257.82530 15.052 0.005
6262.74850 15.010 0.005
6265.82134 15.152 0.005
6270.83652 15.014 0.005
6270.84245 15.004 0.005
6274.82819 15.259 0.005
6278.77564 15.075 0.005
6282.79812 15.096 0.005
6286.73137 15.228 0.005
6289.80069 15.108 0.005
6294.82262 15.333 0.005
6299.77918 15.061 0.005
6306.71933 15.106 0.005
6312.71038 15.031 0.005
6317.70562 15.053 0.005
6323.67853 15.147 0.005
6329.63735 15.240 0.006
6333.62844 15.058 0.005
6340.64036 15.072 0.005
6343.58413 15.181 0.005
6347.61045 15.066 0.005
6353.62721 15.009 0.005
6354.59161 15.091 0.005
6355.58068 15.222 0.005
6356.62781 15.351 0.005
6356.66531 15.311 0.005
6357.64315 15.264 0.005
6358.54062 15.074 0.005
6360.59220 15.027 0.005
6361.60251 15.102 0.005
6362.57596 15.215 0.005
6363.54531 15.333 0.005
6363.58006 15.365 0.005
6371.56810 15.176 0.005
6378.55115 15.170 0.005
6387.54338 15.024 0.005
6396.54905 15.117 0.005
6404.53421 15.291 0.005
6416.51022 15.042 0.005
6509.92880 15.036 0.005
6520.90200 15.169 0.005
6531.91317 15.104 0.005
6547.87983 15.319 0.005
6561.84670 15.282 0.005
6571.85347 15.008 0.005
6577.89410 15.038 0.006
6578.87312 14.999 0.005
6583.80024 15.095 0.005
6608.84055 15.149 0.005
6612.77682 15.027 0.005
6616.73868 15.358 0.005
6622.79264 15.178 0.005
6628.82031 15.062 0.005
6638.74610 15.157 0.005
6645.74365 15.152 0.005
6649.75060 15.099 0.005
6654.77073 15.019 0.005
6658.79386 15.390 0.005
6662.77915 15.001 0.005
6667.84245 15.129 0.005
6672.78411 15.398 0.005
6680.77839 15.199 0.005
6690.67106 15.047 0.005
6697.71966 15.049 0.005
6705.68499 15.130 0.005
6712.65223 15.140 0.005
